time_id,deprivation_level,lsoa_code,crime_count
2015-03-01,High,E01003573,7
2015-03-01,High,E01003574,13
2015-03-01,High,E01003575,21
2015-03-01,High,E01003579,7
2015-03-01,High,E01003580,18
2015-03-01,High,E01003582,31
2015-03-01,High,E01003583,12
2015-03-01,High,E01003584,18
2015-03-01,High,E01003585,10
2015-03-01,High,E01003586,8
2015-03-01,High,E01003587,32
2015-03-01,High,E01003588,1
2015-03-01,High,E01003593,12
2015-03-01,High,E01003594,11
2015-03-01,High,E01003595,15
2015-03-01,High,E01003598,14
2015-03-01,High,E01003599,18
2015-03-01,High,E01003605,14
2015-03-01,High,E01003606,42
2015-03-01,High,E01003607,14
2015-03-01,High,E01003611,9
2015-03-01,High,E01003615,19
2015-03-01,High,E01003616,26
2015-03-01,High,E01003617,168
2015-03-01,High,E01003623,14
2015-03-01,High,E01003624,7
2015-03-01,High,E01003625,14
2015-03-01,High,E01003627,5
2015-03-01,High,E01003630,22
2015-03-01,High,E01003631,20
2015-03-01,High,E01003634,11
2015-03-01,High,E01003636,18
2015-03-01,High,E01003656,4
2015-03-01,High,E01003689,92
2015-03-01,High,E01003708,9
2015-03-01,High,E01003720,14
2015-03-01,High,E01003723,4
2015-03-01,High,E01003726,22
2015-03-01,High,E01003727,9
2015-03-01,High,E01003728,63
2015-03-01,High,E01003729,23
2015-03-01,High,E01003768,12
2015-03-01,High,E01003819,6
2015-03-01,High,E01003911,3
2015-03-01,High,E01003915,12
2015-03-01,High,E01003917,12
2015-03-01,High,E01003920,24
2015-03-01,High,E01003922,11
2015-03-01,High,E01003924,7
2015-03-01,High,E01003925,14
2015-03-01,High,E01003926,5
2015-03-01,High,E01003930,22
2015-03-01,High,E01003933,13
2015-03-01,High,E01003938,12
2015-03-01,High,E01003940,14
2015-03-01,High,E01003942,14
2015-03-01,High,E01003950,7
2015-03-01,High,E01003960,13
2015-03-01,High,E01003966,23
2015-03-01,High,E01003967,6
2015-03-01,High,E01003972,16
2015-03-01,High,E01003973,25
2015-03-01,High,E01003975,17
2015-03-01,High,E01003976,31
2015-03-01,High,E01003977,11
2015-03-01,High,E01003979,17
2015-03-01,High,E01003980,13
2015-03-01,High,E01003983,5
2015-03-01,High,E01003988,29
2015-03-01,High,E01003989,21
2015-03-01,High,E01003990,24
2015-03-01,High,E01003992,15
2015-03-01,High,E01003993,7
2015-03-01,High,E01003997,9
2015-03-01,High,E01004000,18
2015-03-01,High,E01004004,17
2015-03-01,High,E01004010,19
2015-03-01,High,E01004011,10
2015-03-01,High,E01004012,9
2015-03-01,High,E01004020,6
2015-03-01,High,E01004023,41
2015-03-01,High,E01004024,18
2015-03-01,High,E01004033,31
2015-03-01,High,E01004036,25
2015-03-01,High,E01004041,9
2015-03-01,High,E01004044,2
2015-03-01,High,E01004045,11
2015-03-01,High,E01004060,13
2015-03-01,High,E01004062,36
2015-03-01,High,E01004063,22
2015-03-01,High,E01004064,14
2015-03-01,High,E01004123,21
2015-03-01,High,E01004125,11
2015-03-01,High,E01004126,4
2015-03-01,High,E01004167,9
2015-03-01,High,E01004169,9
2015-03-01,High,E01004183,8
2015-03-01,High,E01004184,10
2015-03-01,High,E01004189,14
2015-03-01,High,E01004197,37
2015-03-01,High,E01004200,19
2015-03-01,High,E01004203,35
2015-03-01,High,E01004211,38
2015-03-01,High,E01004224,42
2015-03-01,High,E01004226,14
2015-03-01,High,E01004230,16
2015-03-01,High,E01004231,37
2015-03-01,High,E01004233,6
2015-03-01,High,E01004235,11
2015-03-01,High,E01004237,10
2015-03-01,High,E01004238,51
2015-03-01,High,E01004240,12
2015-03-01,High,E01004246,34
2015-03-01,High,E01004251,11
2015-03-01,High,E01004253,11
2015-03-01,High,E01004257,16
2015-03-01,High,E01004260,17
2015-03-01,High,E01004262,38
2015-03-01,High,E01004263,21
2015-03-01,High,E01004267,28
2015-03-01,High,E01004269,28
2015-03-01,High,E01004271,13
2015-03-01,High,E01004283,31
2015-03-01,High,E01004284,13
2015-03-01,High,E01004287,15
2015-03-01,High,E01004290,25
2015-03-01,High,E01004295,21
2015-03-01,High,E01004305,10
2015-03-01,High,E01004308,10
2015-03-01,High,E01004315,40
2015-03-01,High,E01004317,87
2015-03-01,High,E01004319,12
2015-03-01,High,E01004322,65
2015-03-01,High,E01004323,35
2015-03-01,High,E01004327,9
2015-03-01,High,E01004332,14
2015-03-01,High,E01004333,10
2015-03-01,High,E01004341,21
2015-03-01,High,E01004344,20
2015-03-01,High,E01004349,6
2015-03-01,High,E01004350,11
2015-03-01,High,E01004364,27
2015-03-01,High,E01004365,15
2015-03-01,High,E01004367,20
2015-03-01,High,E01004384,23
2015-03-01,High,E01004385,9
2015-03-01,High,E01004389,18
2015-03-01,High,E01004400,7
2015-03-01,High,E01004402,6
2015-03-01,High,E01004403,19
2015-03-01,High,E01004404,23
2015-03-01,High,E01004405,15
2015-03-01,High,E01004409,25
2015-03-01,High,E01004413,21
2015-03-01,High,E01004434,14
2015-03-01,High,E01004435,16
2015-03-01,High,E01004443,55
2015-03-01,High,E01004445,15
2015-03-01,High,E01004455,29
2015-03-01,High,E01004460,32
2015-03-01,High,E01004467,6
2015-03-01,High,E01004471,16
2015-03-01,High,E01004528,30
2015-03-01,High,E01004537,18
2015-03-01,High,E01004562,24
2015-03-01,High,E01004563,33
2015-03-01,High,E01004567,16
2015-03-01,High,E01004570,15
2015-03-01,High,E01004573,19
2015-03-01,High,E01004575,17
2015-03-01,High,E01004584,13
2015-03-01,High,E01004600,50
2015-03-01,High,E01004613,7
2015-03-01,High,E01004630,6
2015-03-01,High,E01004645,13
2015-03-01,High,E01004667,4
2015-03-01,High,E01004669,7
2015-03-01,High,E01004675,18
2015-03-01,High,E01004679,17
2015-03-01,High,E01004696,9
2015-03-01,High,E01004710,20
2015-03-01,High,E01004718,20
2015-03-01,High,E01004719,14
2015-03-01,High,E01004720,19
2015-03-01,High,E01004723,19
2015-03-01,High,E01004725,11
2015-03-01,High,E01004734,497
2015-03-01,High,E01004740,2
2015-03-01,High,E01004746,3
2015-03-01,High,E01004755,16
2015-03-01,High,E01032562,8
2015-03-01,High,E01032574,17
2015-03-01,High,E01032581,20
2015-03-01,High,E01032582,116
2015-03-01,High,E01032583,30
2015-03-01,High,E01032584,19
2015-03-01,High,E01032743,11
2015-03-01,High,E01032765,24
2015-03-01,High,E01032774,10
2015-03-01,High,E01033085,5
2015-03-01,High,E01033100,3
2015-03-01,High,E01033132,15
2015-03-01,High,E01033324,9
2015-03-01,High,E01033341,10
2015-03-01,High,E01033464,28
2015-03-01,High,E01033488,11
2015-03-01,High,E01033491,51
2015-03-01,High,E01033492,6
2015-03-01,High,E01033578,26
