time_id,lsoa_code,deprivation_level,crime_count
2015-03-01,E01000490,Medium,3
2015-03-01,E01000491,Medium,3
2015-03-01,E01000492,Very Low,2
2015-03-01,E01000493,Very Low,2
2015-03-01,E01000494,Low,4
2015-03-01,E01000495,High,3
2015-03-01,E01000497,Medium,4
2015-03-01,E01000498,High,3
2015-03-01,E01000499,High,6
2015-03-01,E01000501,Very High,2
2015-03-01,E01000502,High,3
2015-03-01,E01000503,High,2
2015-03-01,E01000504,Medium,3
2015-03-01,E01000505,Low,1
2015-03-01,E01000506,High,4
2015-03-01,E01000507,Medium,6
2015-03-01,E01000508,Very High,7
2015-03-01,E01000509,Very High,1
2015-03-01,E01000510,High,7
2015-03-01,E01000512,Low,5
2015-03-01,E01000513,Low,1
2015-03-01,E01000514,Low,2
2015-03-01,E01000515,High,2
2015-03-01,E01000516,Low,1
2015-03-01,E01000517,Very Low,5
2015-03-01,E01000519,Low,1
2015-03-01,E01000520,Low,2
2015-03-01,E01000521,Very High,8
2015-03-01,E01000523,High,11
2015-03-01,E01000524,Very High,17
2015-03-01,E01000525,Very High,4
2015-03-01,E01000526,Very High,3
2015-03-01,E01000527,Very High,5
2015-03-01,E01000528,Very High,1
2015-03-01,E01000530,Low,2
2015-03-01,E01000531,Medium,3
2015-03-01,E01000532,Medium,2
2015-03-01,E01000533,Very High,11
2015-03-01,E01000534,Low,2
2015-03-01,E01000535,High,10
2015-03-01,E01000536,Very Low,2
2015-03-01,E01000541,Low,3
2015-03-01,E01000543,Medium,3
2015-03-01,E01000544,High,1
2015-03-01,E01000545,High,6
2015-03-01,E01000546,Medium,1
2015-03-01,E01000547,Medium,4
2015-03-01,E01000548,High,6
2015-03-01,E01000549,Low,1
2015-03-01,E01000550,Very High,2
2015-03-01,E01000551,Very High,6
2015-03-01,E01000552,Very High,5
2015-03-01,E01000553,High,3
2015-03-01,E01000555,Low,1
2015-03-01,E01000556,High,6
2015-03-01,E01000557,Medium,1
2015-03-01,E01000558,Medium,2
2015-03-01,E01000559,Medium,2
2015-03-01,E01000560,Low,1
2015-03-01,E01000561,Medium,3
2015-03-01,E01000562,Very Low,1
2015-03-01,E01000563,Very Low,1
2015-03-01,E01000564,Low,4
2015-03-01,E01000565,Medium,1
2015-03-01,E01000566,Low,1
2015-03-01,E01000567,Low,1
2015-03-01,E01000568,Low,10
2015-03-01,E01000569,Very Low,1
2015-03-01,E01000570,Medium,4
2015-03-01,E01000571,Medium,1
2015-03-01,E01000575,Low,2
2015-03-01,E01000576,Low,3
2015-03-01,E01000577,High,3
2015-03-01,E01000578,High,6
2015-03-01,E01000579,High,2
2015-03-01,E01000580,Low,2
2015-03-01,E01000581,Low,2
2015-03-01,E01000583,Medium,5
2015-03-01,E01000584,Low,2
2015-03-01,E01000585,Low,3
2015-03-01,E01000586,Medium,4
2015-03-01,E01000587,Low,4
2015-03-01,E01000588,Medium,1
2015-03-01,E01000589,Low,1
2015-03-01,E01000590,Low,3
2015-03-01,E01000591,Low,2
2015-03-01,E01000592,Low,3
2015-03-01,E01000593,Low,3
2015-03-01,E01000594,Low,4
2015-03-01,E01000595,Very High,2
2015-03-01,E01000596,Very High,6
2015-03-01,E01000599,Very High,1
2015-03-01,E01000600,Very High,16
2015-03-01,E01000601,Very High,4
2015-03-01,E01000602,Very High,1
2015-03-01,E01000603,Very High,1
2015-03-01,E01000604,Very High,2
2015-03-01,E01000605,Very High,1
2015-03-01,E01000606,Low,4
2015-03-01,E01000607,Low,4
2015-03-01,E01000608,Medium,2
2015-03-01,E01000609,Medium,3
2015-03-01,E01000610,Medium,4
2015-03-01,E01000611,Medium,2
2015-03-01,E01000613,Medium,1
2015-03-01,E01000615,Low,3
2015-03-01,E01000616,Medium,1
2015-03-01,E01000619,Low,1
2015-03-01,E01000620,Medium,3
2015-03-01,E01000621,Medium,1
2015-03-01,E01000622,High,2
2015-03-01,E01000623,Low,1
2015-03-01,E01000624,Low,2
2015-03-01,E01000625,Medium,1
2015-03-01,E01000626,Very High,4
2015-03-01,E01000627,Very High,8
2015-03-01,E01000628,Very High,2
2015-03-01,E01000629,Low,1
2015-03-01,E01000630,High,7
2015-03-01,E01000631,Low,3
2015-03-01,E01000632,Low,2
2015-03-01,E01000633,Medium,4
2015-03-01,E01000634,Medium,4
2015-03-01,E01000635,High,14
2015-03-01,E01000636,Low,3
2015-03-01,E01000638,High,4
